Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Hour,Day_of_Week,Month,Amount_Ratio,Speed_Amount_Ratio,Speed_X_Amount
Car,FTG-478-NJH-852,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",73,Not Fraud,6,4,4,1.0,0.6083333333333333,8760
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",68,Not Fraud,11,5,4,inf,inf,0
Truck,FTG-480-TGB-254,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",91,Not Fraud,15,6,4,1.0,0.26,31850
Van,FTG-481-BVC-954,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",52,Fraud,21,0,4,1.1666666666666667,0.37142857142857144,7280
Sedan,FTG-482-XCV-453,A-101,Regular,Medium,160,120,"13.059816123454882, 77.77068662374292",82,Fraud,3,1,4,1.3333333333333333,0.5125,13120
SUV,FTG-140-PQR-365,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",56,Not Fraud,7,2,4,1.0,0.3111111111111111,10080
Bus ,FTG-484-POU-053,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",84,Not Fraud,12,3,4,1.0,0.24,29400
Car,FTG-485-ZXC-773,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",69,Not Fraud,16,4,4,1.0,0.575,8280
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,Not Fraud,22,5,4,inf,inf,0
Truck,FTG-487-HGT-183,C-103,Express,Large,350,180,"13.059816123454882, 77.77068662374292",49,Fraud,4,6,4,1.9444444444444444,0.14,17150
Van,FTG-470-ABC-720,B-102,Regular,Medium,140,100,"13.059816123454882, 77.77068662374292",76,Fraud,8,0,4,1.4,0.5428571428571428,10640
Sedan,FTG-489-QAZ-582,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",63,Not Fraud,13,1,4,1.0,0.39375,10080
SUV,FTG-490-RFD-282,B-102,Regular,Large,180,100,"13.059816123454882, 77.77068662374292",88,Fraud,18,2,4,1.8,0.4888888888888889,15840
Bus ,FTG-491-YUI-964,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",74,Not Fraud,23,3,4,1.0,0.21142857142857144,25900
Car,FTG-492-BVC-553,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",96,Not Fraud,5,4,4,1.0,0.8,11520
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",61,Not Fraud,9,5,4,inf,inf,0
Truck,FTG-494-KJH-790,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",85,Fraud,14,6,4,3.5,0.24285714285714285,29750
Van,FTG-495-EDC-860,B-102,Express,Medium,140,180,"13.059816123454882, 77.77068662374292",52,Fraud,18,0,5,0.7777777777777778,0.37142857142857144,7280
Sedan,FTG-496-LMK-450,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,Not Fraud,23,1,5,1.0,0.49375,12640
SUV,FTG-497-PLN-180,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",66,Not Fraud,3,2,5,1.0,0.36666666666666664,11880
Bus ,FTG-498-VFR-870,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,Not Fraud,7,3,5,1.0,0.2571428571428571,31500
Car,FTG-499-WSX-540,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",48,Not Fraud,12,4,5,1.0,0.4,5760
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,Not Fraud,16,5,5,inf,inf,0
Truck,FTG-501-XYZ-183,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",60,Not Fraud,21,6,5,1.0,0.20689655172413793,17400
Van,FTG-502-ABC-613,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",83,Not Fraud,3,0,5,1.0,0.7545454545454545,9130
Sedan,FTG-503-PQR-333,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",71,Not Fraud,8,1,5,1.0,0.71,7100
SUV,FTG-504-DEF-083,B-102,Regular,Large,130,180,"13.042660878688794, 77.47580097259879",97,Fraud,13,2,5,0.7222222222222222,0.7461538461538462,12610
Bus ,FTG-505-LMN-863,C-103,Express,Large,290,100,"13.042660878688794, 77.47580097259879",46,Fraud,18,3,5,2.9,0.15862068965517243,13340
Car,FTG-730-DEF-250,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",81,Not Fraud,23,4,5,1.0,1.35,4860
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",64,Not Fraud,5,5,5,inf,inf,0
Truck,FTG-508-UVW-853,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",93,Not Fraud,10,6,5,1.0,0.32068965517241377,26970
Van,FTG-509-RST-558,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",57,Not Fraud,14,0,5,1.0,0.5181818181818182,6270
Sedan,FTG-510-MNO-218,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",86,Not Fraud,19,1,5,1.0,0.86,8600
SUV,FTG-511-QWE-985,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",87,Not Fraud,0,2,5,1.0,0.6692307692307692,11310
Bus ,FTG-200-HGT-610,C-103,Regular,Large,290,100,"13.042660878688794, 77.47580097259879",88,Fraud,6,3,5,2.9,0.30344827586206896,25520
Car,FTG-513-POI-327,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",89,Not Fraud,11,4,5,1.0,1.4833333333333334,5340
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",90,Not Fraud,15,5,5,inf,inf,0
Truck,FTG-515-DCV-774,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",91,Not Fraud,21,6,5,1.0,0.3137931034482759,26390
Van,FTG-516-NBH-413,B-102,Regular,Medium,110,100,"13.042660878688794, 77.47580097259879",92,Fraud,2,0,5,1.1,0.8363636363636363,10120
Sedan,FTG-517-LKI-113,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",93,Not Fraud,6,1,5,1.0,0.93,9300
SUV,FTG-518-UYT-813,B-102,Regular,Large,130,100,"13.042660878688794, 77.47580097259879",66,Fraud,11,2,5,1.3,0.5076923076923077,8580
Bus ,FTG-550-UVW-980,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",67,Not Fraud,16,3,5,1.0,0.23103448275862068,19430
Car,FTG-520-TYU-513,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",68,Not Fraud,21,4,5,1.0,1.1333333333333333,4080
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",69,Not Fraud,2,5,5,inf,inf,0
Truck,FTG-602-ABC-693,C-103,Regular,Large,290,100,"13.042660878688794, 77.47580097259879",70,Fraud,7,6,5,2.9,0.2413793103448276,20300
Van,FTG-603-PQR-393,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",71,Not Fraud,12,0,5,1.0,0.6454545454545455,7810
Sedan,FTG-604-DEF-938,A-101,Regular,Medium,100,0,"13.042660878688794, 77.47580097259879",72,Fraud,16,1,5,inf,0.72,7200
SUV,FTG-605-LMN-735,B-102,Express,Large,130,100,"13.042660878688794, 77.47580097259879",73,Fraud,22,2,5,1.3,0.5615384615384615,9490
Bus ,FTG-606-GHI-335,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",74,Not Fraud,3,3,6,1.0,0.25517241379310346,21460
Car,FTG-607-JKL-196,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",75,Not Fraud,7,4,6,1.0,1.25,4500
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",76,Not Fraud,12,5,6,inf,inf,0
Truck,FTG-609-RST-535,C-103,Express,Large,290,60,"13.042660878688794, 77.47580097259879",77,Fraud,15,6,6,4.833333333333333,0.2655172413793103,22330
Van,FTG-610-MNO-235,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",78,Not Fraud,21,0,6,1.0,0.7090909090909091,8580
Sedan,FTG-810-MNO-350,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",79,Not Fraud,2,1,6,1.0,0.79,7900
SUV,FTG-612-ZXC-645,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",80,Not Fraud,6,2,6,1.0,0.6153846153846154,10400
Bus ,FTG-613-POI-327,C-103,Express,Large,290,100,"13.042660878688794, 77.47580097259879",81,Fraud,11,3,6,2.9,0.2793103448275862,23490
Car,FTG-614-KJH-097,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",82,Not Fraud,15,4,6,1.0,1.3666666666666667,4920
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",83,Not Fraud,20,5,6,inf,inf,0
Truck,FTG-616-NBH-427,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",84,Not Fraud,1,6,6,1.0,0.2896551724137931,24360
Van,FTG-617-LKI-195,B-102,Express,Medium,110,90,"13.042660878688794, 77.47580097259879",85,Fraud,6,0,6,1.2222222222222223,0.7727272727272727,9350
Sedan,FTG-380-IJK-720,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",86,Not Fraud,11,1,6,1.0,0.86,8600
SUV,FTG-619-FRD-555,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",40,Not Fraud,15,2,6,1.0,0.3076923076923077,5200
Bus ,FTG-620-TYU-259,C-103,Regular,Large,290,100,"13.042660878688794, 77.47580097259879",41,Fraud,21,3,6,2.9,0.1413793103448276,11890
Car,FTG-621-BVC-959,A-101,Express,Small,60,0,"13.042660878688794, 77.47580097259879",42,Fraud,3,4,6,inf,0.7,2520
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",43,Not Fraud,7,5,6,inf,inf,0
Truck,FTG-623-NMK-354,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",44,Not Fraud,12,6,6,1.0,0.15172413793103448,12760
Van,FTG-624-CDE-084,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",45,Not Fraud,16,0,6,1.0,0.4090909090909091,4950
Sedan,FTG-625-VBN-784,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",46,Not Fraud,22,1,6,1.0,0.46,4600
SUV,FTG-626-PLM-441,B-102,Regular,Large,130,90,"13.042660878688794, 77.47580097259879",47,Fraud,4,2,6,1.4444444444444444,0.36153846153846153,6110
Bus ,FTG-627-HGT-142,C-103,Express,Large,290,60,"13.042660878688794, 77.47580097259879",45,Fraud,8,3,6,4.833333333333333,0.15517241379310345,13050
Car,FTG-628-WSX-852,A-101,Regular,Small,60,90,"13.042660878688794, 77.47580097259879",50,Fraud,21,4,5,0.6666666666666666,0.8333333333333334,3000
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",55,Not Fraud,11,1,6,inf,inf,0
Truck,FTG-630-LPO-252,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",48,Not Fraud,13,2,6,1.0,0.16551724137931034,13920
Van,FTG-631-ZAS-942,B-102,Express,Medium,110,100,"13.042660878688794, 77.47580097259879",60,Fraud,20,1,8,1.1,0.5454545454545454,6600
Sedan,FTG-632-IXC-642,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",42,Not Fraud,19,2,9,1.0,0.42,4200
SUV,FTG-620-RST-150,B-102,Express,Large,130,100,"13.042660878688794, 77.47580097259879",57,Fraud,8,0,10,1.3,0.43846153846153846,7410
Bus ,FTG-634-RFV-082,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",49,Not Fraud,8,6,1,1.0,0.16896551724137931,14210
Car,FTG-890-XYZ-465,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",52,Not Fraud,12,0,1,1.0,0.8666666666666667,3120
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",46,Not Fraud,0,2,1,inf,inf,0
Truck,FTG-637-NJI-192,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",58,Not Fraud,8,3,1,1.0,0.2,16820
Van,FTG-638-LKJ-892,B-102,Regular,Medium,110,60,"13.042660878688794, 77.47580097259879",53,Fraud,14,4,1,1.8333333333333333,0.4818181818181818,5830
Sedan,FTG-430-PQR-710,A-101,Express,Medium,100,60,"13.042660878688794, 77.47580097259879",47,Fraud,20,5,1,1.6666666666666667,0.47,4700
SUV,FTG-640-POU-211,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",51,Not Fraud,3,6,1,1.0,0.3923076923076923,6630
Bus ,FTG-641-ZXC-991,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",44,Not Fraud,9,0,1,1.0,0.15172413793103448,12760
Car,FTG-642-VBN-691,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",59,Not Fraud,15,1,1,1.0,0.9833333333333333,3540
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",54,Not Fraud,22,2,1,inf,inf,0
Truck,FTG-644-MKH-095,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",43,Not Fraud,4,3,1,1.0,0.1482758620689655,12470
Van,FTG-645-DCF-764,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",56,Not Fraud,10,4,1,1.0,0.509090909090909,6160
Sedan,FTG-646-POI-434,A-101,Regular,Medium,100,180,"13.042660878688794, 77.47580097259879",50,Fraud,15,5,1,0.5555555555555556,0.5,5000
SUV,FTG-647-XCV-104,B-102,Express,Large,130,100,"13.042660878688794, 77.47580097259879",45,Fraud,21,6,1,1.3,0.34615384615384615,5850
Bus ,FTG-648-JKL-873,C-103,Regular,Large,290,100,"13.042660878688794, 77.47580097259879",55,Fraud,4,0,1,2.9,0.1896551724137931,15950
Car,FTG-649-RFD-542,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",48,Not Fraud,10,1,1,1.0,0.8,2880
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",60,Not Fraud,16,2,1,inf,inf,0
Truck,FTG-651-YUI-984,C-103,Express,Large,290,110,"13.042660878688794, 77.47580097259879",42,Fraud,22,3,1,2.6363636363636362,0.14482758620689656,12180
Van,FTG-652-BVC-652,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",57,Not Fraud,5,4,1,1.0,0.5181818181818182,6270
Sedan,FTG-700-ABC-360,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",49,Not Fraud,11,5,1,1.0,0.49,4900
SUV,FTG-654-KJH-091,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",52,Not Fraud,17,6,1,1.0,0.4,6760
Bus ,FTG-655-EDC-761,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",46,Not Fraud,0,0,1,1.0,0.15862068965517243,13340
Car,FTG-656-LMK-431,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",58,Not Fraud,6,1,1,1.0,0.9666666666666667,3480
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",53,Not Fraud,11,2,2,inf,inf,0
Truck,FTG-658-VFR-871,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",47,Not Fraud,18,3,2,1.0,0.16206896551724137,13630
Van,FTG-659-WSX-541,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",51,Not Fraud,1,4,2,1.0,0.4636363636363636,5610
Sedan,FTG-660-QAZ-211,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",44,Not Fraud,7,5,2,1.0,0.44,4400
SUV,FTG-661-POU-927,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",59,Not Fraud,13,6,2,1.0,0.45384615384615384,7670
Bus ,FTG-662-NJH-651,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",54,Not Fraud,19,0,2,1.0,0.18620689655172415,15660
Car,FTG-663-ZXC-322,A-101,Express,Small,60,100,"13.042660878688794, 77.47580097259879",43,Fraud,2,1,2,0.6,0.7166666666666667,2580
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",56,Not Fraud,8,2,2,inf,inf,0
Truck,FTG-665-LKJ-725,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",50,Not Fraud,14,3,2,1.0,0.1724137931034483,14500
Van,FTG-666-HGT-422,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",45,Not Fraud,20,4,2,1.0,0.4090909090909091,4950
Sedan,FTG-667-MKF-129,A-101,Express,Medium,100,60,"13.042660878688794, 77.47580097259879",55,Fraud,2,5,2,1.6666666666666667,0.55,5500
SUV,FTG-668-DCV-826,B-102,Regular,Large,130,60,"13.042660878688794, 77.47580097259879",48,Fraud,8,6,2,2.1666666666666665,0.36923076923076925,6240
Bus ,FTG-669-NBH-542,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",60,Not Fraud,14,0,2,1.0,0.20689655172413793,17400
Car,FTG-670-POI-212,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",42,Not Fraud,21,1,2,1.0,0.7,2520
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",57,Not Fraud,3,2,2,inf,inf,0
Truck,FTG-270-DEF-920,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",49,Not Fraud,9,3,2,1.0,0.16896551724137931,14210
Van,FTG-673-KJH-322,B-102,Express,Medium,110,60,"13.042660878688794, 77.47580097259879",52,Fraud,14,4,2,1.8333333333333333,0.4727272727272727,5720
Sedan,FTG-674-VFR-092,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",46,Not Fraud,20,5,2,1.0,0.46,4600
SUV,FTG-675-YUI-766,B-102,Express,Large,130,90,"13.042660878688794, 77.47580097259879",58,Fraud,3,6,2,1.4444444444444444,0.4461538461538462,7540
Bus ,FTG-520-HGT-180,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",53,Not Fraud,9,0,2,1.0,0.18275862068965518,15370
Car,FTG-677-LMK-106,A-101,Express,Small,60,0,"13.042660878688794, 77.47580097259879",47,Fraud,15,1,2,inf,0.7833333333333333,2820
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",51,Not Fraud,21,2,2,inf,inf,0
Truck,FTG-679-RFD-541,C-103,Express,Large,290,180,"13.042660878688794, 77.47580097259879",44,Fraud,4,3,2,1.6111111111111112,0.15172413793103448,12760
Van,FTG-780-UVW-540,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",59,Not Fraud,10,4,2,1.0,0.5363636363636364,6490
Sedan,FTG-681-BVC-981,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",54,Not Fraud,16,5,2,1.0,0.54,5400
SUV,FTG-682-XCV-658,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",43,Not Fraud,22,6,2,1.0,0.33076923076923076,5590
Bus ,FTG-683-LKJ-327,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",56,Not Fraud,5,0,2,1.0,0.19310344827586207,16240
Car,FTG-684-POU-094,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",50,Not Fraud,11,1,2,1.0,0.8333333333333334,3000
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",45,Not Fraud,17,2,3,inf,inf,0
Truck,FTG-686-PLM-433,C-103,Regular,Large,290,110,"13.042660878688794, 77.47580097259879",55,Fraud,0,3,3,2.6363636363636362,0.1896551724137931,15950
Van,FTG-687-HGT-102,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",48,Not Fraud,6,4,3,1.0,0.43636363636363634,5280
Sedan,FTG-688-WSX-872,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",60,Not Fraud,11,5,3,1.0,0.6,6000
SUV,FTG-689-QAZ-542,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",42,Not Fraud,18,6,3,1.0,0.3230769230769231,5460
Bus ,FTG-690-RFD-211,C-103,Regular,Large,290,90,"13.042660878688794, 77.47580097259879",57,Fraud,1,0,3,3.2222222222222223,0.19655172413793104,16530
Car,FTG-340-MNO-890,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",49,Not Fraud,7,1,3,1.0,0.8166666666666667,2940
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",52,Not Fraud,13,2,3,inf,inf,0
Truck,FTG-693-NBH-121,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",46,Not Fraud,18,3,3,1.0,0.15862068965517243,13340
Van,FTG-590-IJK-420,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",58,Not Fraud,1,4,3,1.0,0.5272727272727272,6380
Sedan,FTG-695-EDC-761,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",53,Not Fraud,7,5,3,1.0,0.53,5300
SUV,FTG-160-RST-750,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",47,Not Fraud,13,6,3,1.0,0.36153846153846153,6110
Bus ,FTG-697-PLN-112,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",51,Not Fraud,20,0,3,1.0,0.17586206896551723,14790
Car,FTG-698-VFR-872,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",44,Not Fraud,2,1,3,1.0,0.7333333333333333,2640
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",59,Not Fraud,8,2,3,inf,inf,0
Truck,FTG-700-QAZ-116,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",54,Not Fraud,14,3,3,1.0,0.18620689655172415,15660
Van,FTG-801-XYZ-130,B-102,Express,Medium,110,100,"13.042660878688794, 77.47580097259879",43,Fraud,21,4,3,1.1,0.39090909090909093,4730
Sedan,FTG-802-ABC-612,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",56,Not Fraud,4,5,3,1.0,0.56,5600
SUV,FTG-803-PQR-312,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",50,Not Fraud,9,6,3,1.0,0.38461538461538464,6500
Bus ,FTG-490-XYZ-210,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",45,Not Fraud,16,0,3,1.0,0.15517241379310345,13050
Car,FTG-760-PQR-681,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",55,Not Fraud,22,1,3,1.0,0.9166666666666666,3300
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",48,Not Fraud,5,2,3,inf,inf,0
Truck,FTG-807-JKL-100,C-103,Express,Large,290,100,"13.042660878688794, 77.47580097259879",60,Fraud,10,3,3,2.9,0.20689655172413793,17400
Van,FTG-808-UVW-870,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",42,Not Fraud,16,4,3,1.0,0.38181818181818183,4620
Sedan,FTG-809-RST-540,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",57,Not Fraud,22,5,3,1.0,0.57,5700
SUV,FTG-320-ABC-395,B-102,Regular,Large,130,0,"13.042660878688794, 77.47580097259879",49,Fraud,5,6,3,inf,0.3769230769230769,6370
Bus ,FTG-811-QWE-990,C-103,Express,Large,290,130,"13.042660878688794, 77.47580097259879",52,Fraud,11,0,3,2.230769230769231,0.1793103448275862,15080
Car,FTG-812-ZXC-611,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",46,Not Fraud,17,1,3,1.0,0.7666666666666667,2760
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",58,Not Fraud,0,2,3,inf,inf,0
Truck,FTG-814-KJH-192,C-103,Regular,Large,290,60,"13.042660878688794, 77.47580097259879",53,Fraud,6,3,3,4.833333333333333,0.18275862068965518,15370
Van,FTG-815-DCV-712,B-102,Express,Medium,110,100,"13.042660878688794, 77.47580097259879",47,Fraud,12,4,3,1.1,0.42727272727272725,5170
Sedan,FTG-816-NBH-131,A-101,Regular,Medium,100,60,"13.042660878688794, 77.47580097259879",51,Fraud,19,5,4,1.6666666666666667,0.51,5100
SUV,FTG-817-LKI-112,B-102,Express,Large,130,130,"13.042660878688794, 77.47580097259879",44,Not Fraud,2,6,4,1.0,0.3384615384615385,5720
Bus ,FTG-818-UYT-812,C-103,Regular,Large,290,100,"13.042660878688794, 77.47580097259879",59,Fraud,7,0,4,2.9,0.20344827586206896,17110
Car,FTG-819-FRD-516,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",54,Not Fraud,13,1,4,1.0,0.9,3240
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",43,Not Fraud,19,2,4,inf,inf,0
Truck,FTG-821-BVC-986,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",56,Not Fraud,2,3,4,1.0,0.19310344827586207,16240
Van,FTG-822-XSW-615,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",50,Not Fraud,8,4,4,1.0,0.45454545454545453,5500
Sedan,FTG-823-NMK-365,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",45,Not Fraud,13,5,4,1.0,0.45,4500
SUV,FTG-824-CDE-095,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",55,Not Fraud,20,6,4,1.0,0.4230769230769231,7150
Bus ,FTG-825-VBN-744,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",48,Not Fraud,4,0,4,1.0,0.16551724137931034,13920
Car,FTG-826-PLM-434,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",60,Not Fraud,0,2,1,1.0,1.0,3600
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",40,Not Fraud,8,3,1,inf,inf,0
Truck,FTG-828-WSX-874,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",62,Not Fraud,14,4,1,1.0,0.21379310344827587,17980
Van,FTG-829-QAZ-544,B-102,Express,Medium,110,0,"13.042660878688794, 77.47580097259879",38,Fraud,20,5,1,inf,0.34545454545454546,4180
Sedan,FTG-830-LPO-214,A-101,Regular,Medium,100,60,"13.042660878688794, 77.47580097259879",65,Fraud,3,6,1,1.6666666666666667,0.65,6500
SUV,FTG-831-ZAS-982,B-102,Express,Large,130,100,"13.042660878688794, 77.47580097259879",42,Fraud,9,0,1,1.3,0.3230769230769231,5460
Bus ,FTG-832-IXC-645,C-103,Regular,Large,290,90,"13.042660878688794, 77.47580097259879",55,Fraud,15,1,1,3.2222222222222223,0.1896551724137931,15950
Car,FTG-833-JOP-325,A-101,Express,Small,60,0,"13.042660878688794, 77.47580097259879",48,Fraud,22,2,1,inf,0.8,2880
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",50,Not Fraud,4,3,1,inf,inf,0
